WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,Relevant? Y/N,micrlocfull,micrtax,otherPhenMicrLink,MicrobesAffectPhenology,manipulationtype,inoctype,phentrait,phentrait_of,anyeffect,SelectionOnPlantMeasured,FitnessComponent,RawDataAvailable,Notes
463,"Cardon, ZG; Czaja, AD; Funk, JL; Vitt, PL",Periodic carbon flushing to roots of Quercus rubra saplings affects soil respiration and rhizosphere microbial biomass,OECOLOGIA,2002,133,2,10.1007/s00442-002-1045-y,y,root,mixed,y,n,,,,,,,,,
464,"Cardoso, JCF; Michalko, R; Gonzaga, MO",Specific parasites indirectly influence niche occupation of non-hosts community members,OECOLOGIA,2018,188,2,10.1007/s00442-018-4163-x,n,,,n,n,,,,,,,,,
465,"Farfan, IDB; De La Fuente, GN; Murray, SC; Isakeit, T; Huang, PC; Warburton, M; Williams, P; Windham, GL; Kolomiets, M","Genome Wide Association Study for Drought, Aflatoxin Resistance, and Important Agronomic Traits of Maize Hybrids in the Sub-Tropics",PLOS ONE,2015,10,2,10.1371/journal.pone.0117737,n,,,n,n,,,,,,,,,
466,"Zhu, Z; Chen, YL; Zhang, XJ; Li, M",Effect of foliar treatment of sodium selenate on postharvest decay and quality of tomato fruits,SCIENTIA HORTICULTURAE,2016,198,,10.1016/j.scienta.2015.12.002,n,,,n,n,,,,,,,,,
467,"Han, YP; Teng, WL; Yu, KF; Poysa, V; Anderson, T; Qiu, LJ; Lightfoot, DA; Li, WB",Mapping QTL tolerance to Phytophthora root rot in soybean using microsatellite and RAPD/SCAR derived markers,EUPHYTICA,2008,162,2,10.1007/s10681-007-9558-4,n,,,n,n,,,,,,,,,
468,"Seifert, EK; Bever, JD; Maron, JL",Evidence for the evolution of reduced mycorrhizal dependence during plant invasion,ECOLOGY,2009,90,4,10.1890/08-0419.1,n,,,n,n,,,,,,,,,
469,"dos Santos, JWM; da Silva, JF; Ferreira, TDD; Dias, MAM; Fraiz, ACR; Escobar, IEC; dos Santos, RC; de Lima, LM; Morgante, CV; Fernandes, PI",Molecular and symbiotic characterization of peanut bradyrhizobia from the semi-arid region of Brazil,APPLIED SOIL ECOLOGY,2017,121,,10.1016/j.apsoil.2017.09.033,n,,,n,n,,,,,,,,,
470,"Magnoli, SM; Lau, JA",Evolution in novel environments: Do restored prairie populations experience strong selection?,ECOLOGY,,,,10.1002/ecy.3120,n,,,n,n,,,,,,,,,
471,"Hernandez, JLG; Alvarado, MCR; Rangel, PP; Nieto-Garibay, A; Murillo-Amador, B; Ruiz-Espinoza, FH; Dominguez, RDV; Puente, EOR",GROWTH AND OIL YIELD PARAMETERS OF THE Capsicum annuum VAR aviculare ASSOCIATED TO THE BENEFICIAL BACTERIUM Bacillus amyloliquefaciens AND Azospirillum halopraeferens UNDER FIELD CONDITIONS,BIOTECNIA,2018,20,2,,n,,,n,n,,,,,,,,,
472,"Min, BW; Kim, SW",The Use of Phosphomannose-isomerase as a Selectable Marker to Recover Transgenic Cauliflower,KOREAN JOURNAL OF HORTICULTURAL SCIENCE & TECHNOLOGY,2011,29,5,,n,,,n,n,,,,,,,,,
473,"Bidartondo, MI; Read, DJ",Fungal specificity bottlenecks during orchid germination and development,MOLECULAR ECOLOGY,2008,17,16,10.1111/j.1365-294X.2008.03848.x,y,root,MF,y,n,,,,,,,,,
474,"Di Cagno, R; De Pasquale, I; De Angelis, M; Calasso, MP; Buchin, S; Gobbetti, M",Contribution of selected adjunct or attenuated non-starter lactobacilli to ripening of Italian caciotta cheese,AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY,2010,65,3,,n,,,n,n,,,,,,,,,
475,"Ke, GR; Lai, CM; Liu, YY; Yang, SS",Inoculation of food waste with the thermo-tolerant lipolytic actinomycete Thermoactinomyces vulgaris A31 and maturity evaluation of the compost,BIORESOURCE TECHNOLOGY,2010,101,19,10.1016/j.biortech.2010.04.051,n,,,n,n,,,,,,,,,
476,"Pawlowska, TE; Taylor, JW",Organization of genetic variation in individuals of arbuscular mycorrhizal fungi,NATURE,2004,427,6976,10.1038/nature02290,n,,,n,n,,,,,,,,,
477,"Ferreira, HA; do Nascimento, CWA; Datnoff, LE; Nunes, GHDS; Preston, W; de Souza, EB; Mariano, RDR",Effects of silicon on resistance to bacterial fruit blotch and growth of melon,CROP PROTECTION,2015,78,,10.1016/j.cropro.2015.09.025,n,,,n,n,,,,,,,,,
478,"Xiao, S; Callaway, RM; Newcombe, G; Aschehoug, ET",Models of Experimental Competitive Intensities Predict Home and Away Differences in Invasive Impact and the Effects of an Endophytic Mutualist,AMERICAN NATURALIST,2012,180,6,10.1086/668008,n,,,n,n,,,,,,,,,
480,"Sousa, CD; Soares, ACF; Garrido, MD; Lima, FD",Control of Scutellonema bradys in yam tubers by Streptomyces spp.,REVISTA CIENCIA AGRONOMICA,2009,40,4,,n,,,n,n,,,,,,,,,
481,"ArnaudSantana, E; Coyne, DP",Inheritance and relationship of the reaction to common bacterial blight and number of days to flowering in dry beans (Phaseolus vulgaris L),JOURNAL OF AGRICULTURE OF THE UNIVERSITY OF PUERTO RICO,1996,80,3,,n,,,n,n,,,,,,,,,
482,"GIBLINDAVIS, RM; BUSEY, P; CENTER, BJ",DYNAMICS OF BELONOLAIMUS-LONGICAUDATUS PARASITISM ON A SUSCEPTIBLE ST AUGUSTINEGRASS HOST,JOURNAL OF NEMATOLOGY,1992,24,3,,n,,,n,n,,,,,,,,,
483,"Ravanbakhsh, M; Sasidharan, R; Voesenek, LACJ; Kowalchuk, GA; Jousset, A",ACC deaminase-producing rhizosphere bacteria modulate plant responses to flooding,JOURNAL OF ECOLOGY,2017,105,4,10.1111/1365-2745.12721,n,,,n,n,,,,,,,,,
485,"Dorrance, AE; Inglis, DA",Assessment of greenhouse and laboratory screening methods for evaluating potato foliage for resistance to late blight,PLANT DISEASE,1997,81,10,10.1094/PDIS.1997.81.10.1206,n,,,n,n,,,,,,,,,
486,"Yoneyama, K; Xie, XN; Sekimoto, H; Takeuchi, Y; Ogasawara, S; Akiyama, K; Hayashi, H; Yoneyama, K","Strigolactones, host recognition signals for root parasitic plants and arbuscular mycorrhizal fungi, from Fabaceae plants",NEW PHYTOLOGIST,2008,179,2,10.1111/j.1469-8137.2008.02462.x,n,,,n,n,,,,,,,,,
487,"Peltzer, DA; Bellingham, PJ; Kurokawa, H; Walker, LR; Wardle, DA; Yeates, GW",Punching above their weight: low-biomass non-native plant species alter soil properties during primary succession,OIKOS,2009,118,7,10.1111/j.1600-0706.2009.17244.x,n,,,n,n,,,,,,,,,
488,"Khan, N; Bano, A; Zandi, P",Effects of exogenously applied plant growth regulators in combination with PGPR on the physiology and root growth of chickpea (Cicer arietinum) and their role in drought tolerance,JOURNAL OF PLANT INTERACTIONS,2018,13,1,10.1080/17429145.2018.1471527,n,,,n,n,,,,,,,,,
489,"HIKICHI, Y; OKUNO, T; FURUSAWA, I",SUSCEPTIBILITY OF RICE SPIKELETS TO INFECTION WITH PSEUDOMONAS-GLUMAE AND ITS POPULATION-DYNAMICS,JOURNAL OF PESTICIDE SCIENCE,1994,19,1,,n,,,n,n,,,,,,,,,
490,"Buratto, W; Buratto, W; de Oliveira, AM; de Oliveira, R; Caione, G; Seben, GD",Leaf application of nitrogen in different phenological stages in soybean and inoculation with Bradyrhizobium japonicum,NATIVA,2018,6,4,10.31413/nativa.v6i4.5227,n,,,n,n,,,,,,,,,
491,"UDAIYAN, K; MANIAN, S; MUTHUKUMAR, T; GREEP, S",BIOSTATIC EFFECT OF FUMIGATION AND PESTICIDE DRENCHES ON AN ENDOMYCORRHIZAL RHIZOBIUM LEGUME TRIPARTITE ASSOCIATION UNDER FIELD CONDITIONS,BIOLOGY AND FERTILITY OF SOILS,1995,20,4,10.1007/BF00336090,n,,,n,n,,,,,,,,,
492,"Colle, M; Straley, EN; Makela, SB; Hammar, SA; Grumet, R",Screening the Cucumber Plant Introduction Collection for Young Fruit Resistance to Phytophthora capsici,HORTSCIENCE,2014,49,3,10.21273/HORTSCI.49.3.244,n,,,n,n,,,,,,,,,
493,"HANSEN, AP; YONEYAMA, T; KOUCHI, H; MARTIN, P","RESPIRATION AND NITROGEN-FIXATION OF HYDROPONICALLY CULTURED PHASEOLUS-VULGARIS L CV OAC RICO AND A SUPERNODULATING MUTANT .1. GROWTH, MINERAL-COMPOSITION AND EFFECT OF SINK REMOVAL",PLANTA,1993,189,4,10.1007/BF00198217,y,root,bacteria,y,n,,,,,,,,,
495,"Minton, MM; Barber, NA; Gordon, LL",Effects of arbuscular mycorrhizal fungi on herbivory defense in two Solanum (Solanaceae) species,PLANT ECOLOGY AND EVOLUTION,2016,149,2,10.5091/plecevo.2016.1176,n,,,n,n,,,,,,,,,
496,"Chun, YJ; Kim, DY; Kim, HJ; Park, KW; Jeong, SC; Park, S; Lee, B; Harn, CH; Kim, HM; Kim, CG",Do transgenic chili pepper plants producing viral coat protein affect the structure of a soil microbial community?,APPLIED SOIL ECOLOGY,2011,51,,10.1016/j.apsoil.2011.09.008,y,root,bacteria; fungi,y,n,,,,,,,,,
497,"HALLAS, LE; ADAMS, WJ; HEITKAMP, MA",GLYPHOSATE DEGRADATION BY IMMOBILIZED BACTERIA - FIELD STUDIES WITH INDUSTRIAL WASTE-WATER EFFLUENT,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1992,58,4,10.1128/AEM.58.4.1215-1219.1992,n,,,n,n,,,,,,,,,
498,"Bandara, YMAY; Weerasooriya, DK; Tesso, TT; Little, CR",Stalk Rot Fungi Affect Leaf Greenness (SPAD) of Grain Sorghum in a Genotype- and Growth-Stage-Specific Manner,PLANT DISEASE,2016,100,10,10.1094/PDIS-02-16-0171-RE,n,,,n,n,,,,,,,,,
499,"Li, YZ; Nan, ZB","Symptomology and etiology of a new disease, yellow stunt, and root rot of standing milkvetch caused by Embellisia sp in Northern China",MYCOPATHOLOGIA,2007,163,6,10.1007/s11046-007-9002-2,n,,,n,n,,,,,,,,,
500,"JINDAL, V; ATWAL, A; SEKHON, BS; SINGH, R",EFFECT OF VESICULAR-ARBUSCULAR MYCORRHIZAE ON METABOLISM OF MOONG PLANTS UNDER NACL SALINITY,PLANT PHYSIOLOGY AND BIOCHEMISTRY,1993,31,4,,n,,,n,n,,,,,,,,,
501,"Averyanov, LV; Tillich, H-J",Notes on taxonomy and new taxa of Aspidistra (Ruscaceae) in the flora of Laos and Vietnam,NORDIC JOURNAL OF BOTANY,2017,35,1,10.1111/njb.01249,,,,,,,,,,,,,,
502,"Azad, MS; Sumon, MMH",Species specific nodulation responses and biomass accumulation to seedling age of Dalbergia sissoo at nursery stage,RHIZOSPHERE,2017,3,,10.1016/j.rhisph.2017.04.003,,,,,,,,,,,,,,
503,"Krings, M; Taylor, TN; Hass, H; Kerp, H; Dotzler, N; Hermsen, EJ","Fungal endophytes in a 400-million-yr-old land plant: infection pathways, spatial distribution, and host responses",NEW PHYTOLOGIST,2007,174,3,10.1111/j.1469-8137.2007.02008.x,,,,,,,,,,,,,,
504,"Gil-Martinez, M; Navarro-Fernandez, CM; Murillo, JM; Dominguez, MT; Maranon, T",Trace elements and C and N isotope composition in two mushroom species from a mine-spill contaminated site,SCIENTIFIC REPORTS,2020,10,1,10.1038/s41598-020-63194-2,,,,,,,,,,,,,,
505,"Rossi, V; Pattori, E; Giosue, S; Bugiani, R","Growth and sporulation of Stemphylium vesicarium, the causal agent of brown spot of pear, on herb plants of orchard lawns",EUROPEAN JOURNAL OF PLANT PATHOLOGY,2005,111,4,10.1007/s10658-004-5273-3,,,,,,,,,,,,,,
506,"Crusciol, CAC; Neto, JF; Mui, TS; Franzluebbers, AJ; da Costa, CHM; Castro, GSA; Ribeiro, LC; Costa, NR",Rhizobial Inoculation and Molybdenum Fertilization in Peanut Crops Grown in a No Tillage System After 20 Years of Pasture,REVISTA BRASILEIRA DE CIENCIA DO SOLO,2019,43,,10.1590/18069657rbcs20170399,,,,,,,,,,,,,,
507,"Perello, A; Lampugnani, G; Abramoff, C; Slusarenko, A; Bello, G",Suppression of seed-borne Alternaria arborescens and growth enhancement of wheat with biorational fungicides,INTERNATIONAL JOURNAL OF PEST MANAGEMENT,2017,63,2,10.1080/09670874.2016.1252478,,,,,,,,,,,,,,
508,"Allen, EB; Rincon, E; Allen, MF; Perez-Jimenez, A; Huante, P",Disturbance and seasonal dynamics of mycorrhizae in a tropical deciduous forest in Mexico,BIOTROPICA,1998,30,2,10.1111/j.1744-7429.1998.tb00060.x,,,,,,,,,,,,,,
509,"Xiao, H; Rodrigues, RR; Bonierbale, M; Veilleux, R; Williams, M",Foliar application of Fe resonates to the belowground rhizosphere microbiome in Andean landrace potatoes,APPLIED SOIL ECOLOGY,2018,131,,10.1016/j.apsoil.2018.08.006,,,,,,,,,,,,,,
510,"Laurentz, M; Reudler, JH; Mappes, J; Friman, V; Ikonen, S; Lindstedt, C",Diet Quality Can Play a Critical Role in Defense Efficacy against Parasitoids and Pathogens in the Glanville Fritillary (Melitaea cinxia),JOURNAL OF CHEMICAL ECOLOGY,2012,38,1,10.1007/s10886-012-0066-1,,,,,,,,,,,,,,
511,"Funnell-Harris, DL; O'Neill, PM; Sattler, SE; Yerka, MK",Response of Sweet Sorghum Lines to Stalk Pathogens Fusarium thapsinum and Macrophomina phaseolina,PLANT DISEASE,2016,100,5,10.1094/PDIS-09-15-1050-RE,,,,,,,,,,,,,,
512,"Alford, ER; Pilon-Smits, EAH; Fakra, SC; Paschke, MW",SELENIUM HYPERACCUMULATION BY ASTRAGALUS (FABACEAE) DOES NOT INHIBIT ROOT NODULE SYMBIOSIS,AMERICAN JOURNAL OF BOTANY,2012,99,12,10.3732/ajb.1200124,,,,,,,,,,,,,,
513,"Leite, LFC; de Araujo, ASF; Costa, CD; Ribeiro, AMB",Nodulation and grain yield of cowpea in response to molybdenum,REVISTA CIENCIA AGRONOMICA,2009,40,4,,,,,,,,,,,,,,,
514,"Zhou, X; Boruc, J; Meier, I",THE PLANT NUCLEAR PORE COMPLEX - THE NUCLEOCYTOPLASMIC BARRIER AND BEYOND,"PLANT NUCLEAR STRUCTURE, GENOME ARCHITECTURE AND GENE REGULATION",2013,46,,10.1002/9781118472507.ch3,,,,,,,,,,,,,,
515,"Poulton, JL; Bryla, D; Koide, RT; Stephenson, AG",Mycorrhizal infection and high soil phosphorus improve vegetative growth and the female and male functions in tomato,NEW PHYTOLOGIST,2002,154,1,10.1046/j.1469-8137.2002.00366.x,,,,,,,,,,,,,,
516,"Barros, RLN; De Oliveira, LB; De Magalhaes, WB; Pimentel, C",GROWTH AND YIELD OF COMMON BEAN AS AFFECTED BY SEED INOCULATION WITH RHIZOBIUM AND NITROGEN FERTILIZATION,EXPERIMENTAL AGRICULTURE,2018,54,1,10.1017/S001447971600065X,,,,,,,,,,,,,,
517,"de Souza, NL; Rocha, SS; Narezzi, NT; Tiepo, AN; de Oliveira, ALM; Oliveira, HC; Bianchini, E; Pimenta, JAN; Stolf-Moreira, R",Differential impacts of plant growth-promoting bacteria (PGPB) on seeds of neotropical tree species with contrasting tolerance to shade,TREES-STRUCTURE AND FUNCTION,2020,34,1,10.1007/s00468-019-01902-w,,,,,,,,,,,,,,
518,"Bustam, S; Sinniah, UR; Kadir, MA; Zaman, FQ; Subramaniam, S",Selection of optimal stage for protocorm-like bodies and production of artificial seeds for direct regeneration on different media and short term storage of Dendrobium Shavin White,PLANT GROWTH REGULATION,2013,69,3,10.1007/s10725-012-9763-6,,,,,,,,,,,,,,
519,"SARIG, S; OKON, Y; BLUM, A",PROMOTION OF LEAF-AREA DEVELOPMENT AND YIELD IN SORGHUM-BICOLOR INOCULATED WITH AZOSPIRILLUM-BRASILENSE,SYMBIOSIS,1990,9,1-3,,,,,,,,,,,,,,,
520,"Fitzpatrick, CR; Schneider, AC","Unique bacterial assembly, composition, and interactions in a parasitic plant and its host",JOURNAL OF EXPERIMENTAL BOTANY,2020,71,6,10.1093/jxb/erz572,,,,,,,,,,,,,,
521,"Endresz, G; Zold-Balogh, Z; Kalapos, T",Local distribution pattern of Brachypodium pinnatum (Poaceae) - Field experiments in xeric loess grassland in N. Hungary,PHYTON-ANNALES REI BOTANICAE,2005,45,2,,,,,,,,,,,,,,,
522,"Matiello, RR; Lopes, MTG; Brunelli, KR; Camargo, LEA",Comparison of yield damage of tropical maize hybrids caused by anthracnose stalk rot,TROPICAL PLANT PATHOLOGY,2013,38,2,10.1590/S1982-56762013000200006,,,,,,,,,,,,,,
523,"Davitt, AJ; Chen, C; Rudgers, JA",Understanding context-dependency in plant-microbe symbiosis: The influence of abiotic and biotic contexts on host fitness and the rate of symbiont transmission,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,2011,71,2,10.1016/j.envexpbot.2010.11.004,,,,,,,,,,,,,,
524,"dos Santos, IPA; Pinto, JC; Siqueira, JO; de Morais, AR; dos Santos, CL","Effect of phosphorus, mycorrhizal and nitrogen on mineral content of Brachiaria brizantha Arachis pintoi mixture",REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,2002,31,2,10.1590/S1516-35982002000300010,,,,,,,,,,,,,,
525,"Souza, RS; Virginio, F; Riback, TIS; Suesdek, L; Barufi, JB; Genta, FA","Microorganism-Based Larval Diets Affect Mosquito Development, Size and Nutritional Reserves in the Yellow Fever Mosquito Aedes aegypti (Diptera: Culicidae)",FRONTIERS IN PHYSIOLOGY,2019,10,,10.3389/fphys.2019.00152,,,,,,,,,,,,,,
526,"Parker, SS; Schimel, JP",Invasive Grasses Increase Nitrogen Availability in California Grassland Soils,INVASIVE PLANT SCIENCE AND MANAGEMENT,2010,3,1,10.1614/IPSM-09-046.1,,,,,,,,,,,,,,
527,"Sangronis, E; Crozzoli, R; Aguirre, Y",Effect of population densities of Meloidogyne enterolobii on growth of parsley (Petroselinum sativum L.) in pots,NEMATROPICA,2014,44,1,,,,,,,,,,,,,,,
528,"Fleysh, N; Deka, D; Drath, M; Koprowski, H; Yusibov, V",Pathogenesis of Alfalfa mosaic virus in soybean (Glycine max) and expression of chimeric rabies peptide in virus-infected soybean plants,PHYTOPATHOLOGY,2001,91,10,10.1094/PHYTO.2001.91.10.941,,,,,,,,,,,,,,
529,"Djigal, D; Sy, M; Brauman, A; Diop, TA; Mountport, D; Chotte, JL; Villenave, C",Interactions between Zeldia Punctata (Cephalobidae) and bacteria in the presence or absence of maize plants,PLANT AND SOIL,2004,262,1-2,10.1023/B:PLSO.0000037022.16822.75,,,,,,,,,,,,,,
530,"Poag, PS; Popp, M; Rupe, J; Dixon, B; Rothrock, C; Boger, C",Economic evaluation of soybean fungicide seed treatments,AGRONOMY JOURNAL,2005,97,6,10.2134/agronj2005.0095,,,,,,,,,,,,,,
531,"Blaney, CS; Kotanen, PM",Effects of fungal pathogens on seeds of native and exotic plants: a test using congeneric pairs,JOURNAL OF APPLIED ECOLOGY,2001,38,5,10.1046/j.1365-2664.2001.00663.x,,,,,,,,,,,,,,
532,"Pozzi, AC; Bautista-Guerrero, HH; Nouioui, I; Cotin-Galvan, L; Pepin, R; Fournier, P; Menu, F; Fernandez, MP; Herrera-Belaroussi, A",In-planta sporulation phenotype: a major life history trait to understand the evolution of Alnus-infective Frankia strains,ENVIRONMENTAL MICROBIOLOGY,2015,17,9,10.1111/1462-2920.12644,,,,,,,,,,,,,,
533,"Trudell, SA; Rygiewicz, PT; Edmonds, RL","Patterns of nitrogen and carbon stable isotope ratios in macrofungi, plants and soils in two old-growth conifer forests",NEW PHYTOLOGIST,2004,164,2,10.1111/j.1469-8137.2004.01162.x,,,,,,,,,,,,,,
534,"Dhillon, RS; Singh, S; Sehrawat, AR; Arya, S; Hussain, Z",Callus induction and plant regeneration from anthers of Azadirachta indica,JOURNAL OF TROPICAL FOREST SCIENCE,2005,17,1,,,,,,,,,,,,,,,
535,"De Silva, NI; Lumyong, S; Hyde, KD; Bulgakov, T; Phillips, AJL; Yan, JY",Mycosphere Essays 9: Defining biotrophs and hemibiotrophs,MYCOSPHERE,2016,7,5,10.5943/mycosphere/7/5/2,,,,,,,,,,,,,,
536,"BUSS, LW; BLACKSTONE, NW",AN EXPERIMENTAL EXPLORATION OF WADDINGTON EPIGENETIC LANDSCAPE,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES,1991,332,1262,10.1098/rstb.1991.0032,,,,,,,,,,,,,,
537,"Kim, YK; Curry, EA; Xiao, CL",Infection of apple fruit by Sphaeropsis pyriputrescens in the orchard in relation to Sphaeropsis rot in storage,EUROPEAN JOURNAL OF PLANT PATHOLOGY,2014,140,1,10.1007/s10658-014-0449-y,,,,,,,,,,,,,,
538,"Glodowska, M; Husk, B; Schwinghamer, T; Smith, D",Biochar is a growth-promoting alternative to peat moss for the inoculation of corn with a pseudomonad,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,2016,36,1,10.1007/s13593-016-0356-z,,,,,,,,,,,,,,
539,"Toomer, KH; Chen, XH; Naito, M; Mondo, SJ; den Bakker, HC; VanKuren, NW; Lekberg, Y; Morton, JB; Pawlowska, TE",Molecular evolution patterns reveal life history features of mycoplasma-related endobacteria associated with arbuscular mycorrhizal fungi,MOLECULAR ECOLOGY,2015,24,13,10.1111/mec.13250,,,,,,,,,,,,,,
540,"Iqbal, T; Farooq, M; Afsheen, S; Abrar, M; Yousaf, M; Ijaz, M",Cold plasma treatment and laser irradiation of Triticum spp. seeds for sterilization and germination,JOURNAL OF LASER APPLICATIONS,2019,31,4,10.2351/1.5109764,,,,,,,,,,,,,,
541,"Gao, L; Hill, PW; Jones, DL; Guo, YF; Gao, F; Cui, XY",Seasonality is more important than forest type in regulating the pool size and composition of soil soluble N in temperate forests,BIOGEOCHEMISTRY,,,,10.1007/s10533-020-00698-z,,,,,,,,,,,,,,
542,"Zanao, LA; Coelho, PHM; Fontes, RLF; de Avila, VT; Kawamura, IK",SEVERITY OF SPOT BLOTCH IN WHEAT CULTIVATED WITH DIFFERENT FORMS OF NITROGEN AND MANGANESE DOSES,REVISTA BRASILEIRA DE CIENCIA DO SOLO,2009,33,5,10.1590/S0100-06832009000500013,,,,,,,,,,,,,,
543,"Sierra, AM; Toledo, JJ; Nascimento, HE; Pereira, MR; Zartman, CE",Are extinction debts reflected in temporal changes of life history trait profiles? A fifteen-year reappraisal of bryophyte metacommunities in a fragmented landscape,BIOLOGICAL CONSERVATION,2019,238,,10.1016/j.biocon.2019.108218,,,,,,,,,,,,,,
544,"Fracasso, A; Telo, L; Lanfranco, L; Bonfante, P; Amaducci, S",Physiological Beneficial Effect of Rhizophagus intraradices Inoculation on Tomato Plant Yield under Water Deficit Conditions,AGRONOMY-BASEL,2020,10,1,10.3390/agronomy10010071,,,,,,,,,,,,,,
545,"Franco, D; de Goes, A; Pereira, FD",SOURCES AND CONCENTRATIONS OF CUPRIC FUNGICIDES FOR THE CONTROL OF CITRUS BLACK SPOT,REVISTA CAATINGA,2020,33,1,10.1590/1983-21252020v33n101rc,,,,,,,,,,,,,,
546,"Rios, JA; Rios, VS; Aucique-Perez, CE; Cruz, MFA; Morais, LE; DaMatta, FM; Rodrigues, FA",Alteration of photosynthetic performance and source-sink relationships in wheat plants infected by Pyricularia oryzae,PLANT PATHOLOGY,2017,66,9,10.1111/ppa.12693,,,,,,,,,,,,,,
547,"Klooster, MR; Culley, TM",COMPARATIVE ANALYSIS OF THE REPRODUCTIVE ECOLOGY OF MONOTROPA AND MONOTROPSIS: TWO MYCOHETEROTROPHIC GENERA IN THE MONOTROPOIDEAE (ERICACEAE),AMERICAN JOURNAL OF BOTANY,2009,96,7,10.3732/ajb.0800319,,,,,,,,,,,,,,
548,"Mellado-Vazquez, PG; Lange, M; Gleixner, G",Soil microbial communities and their carbon assimilation are affected by soil properties and season but not by plants differing in their photosynthetic pathways (C3 vs. C4),BIOGEOCHEMISTRY,2019,142,2,10.1007/s10533-018-0528-9,,,,,,,,,,,,,,
549,"Zhao, HJ; Jian, H; Liu, SS; Guo, QX; Liu, Q",Feasibility analysis of Arabidopsis thaliana as an alternative host for research on interactions of pinewood nematodes with plants,AUSTRALASIAN PLANT PATHOLOGY,2013,42,1,10.1007/s13313-012-0175-x,,,,,,,,,,,,,,
550,"Voelckel, C; Gruenheit, N; Biggs, P; Deusch, O; Lockhart, P",Chips and tags suggest plant-environment interactions differ for two alpine Pachycladon species,BMC GENOMICS,2012,13,,10.1186/1471-2164-13-322,,,,,,,,,,,,,,
551,"Brundrett, MC; Scade, A; Batty, AL; Dixon, KW; Sivasithamparam, K",Development of in situ and ex situ seed baiting techniques to detect mycorrhizal fungi from terrestrial orchid habitats,MYCOLOGICAL RESEARCH,2003,107,,10.1017/S0953756203008463,,,,,,,,,,,,,,
552,"JINDAL, V; ATWAL, A; SEKHON, BS; SINGH, R",INFLUENCE OF NACL SALINITY ON SOME ASPECTS OF NITROGEN ASSIMILATION AND MINERAL-COMPOSITION IN MOONG (VIGNA-RADIATA L) PLANTS IN THE PRESENCE AND ABSENCE OF MYCORRHIZAL INOCULATION,JOURNAL OF THE INDIAN CHEMICAL SOCIETY,1995,72,1,,,,,,,,,,,,,,,
553,"Costa, SR; Kerry, BR; Bardgett, RD; Davies, KG",Interactions between nematodes and their microbial enemies in coastal sand dunes,OECOLOGIA,2012,170,4,10.1007/s00442-012-2359-z,,,,,,,,,,,,,,
554,"Klock, MM; Barrett, LG; Thrall, PH; Harms, KE",Differential plant invasiveness is not always driven by host promiscuity with bacterial symbionts,AOB PLANTS,2016,8,,10.1093/aobpla/plw060,,,,,,,,,,,,,,
555,"Dutta, B; Gitaitis, R; Sanders, H; Booth, C; Smith, S; Langston, DB",Role of Blossom Colonization in Pepper Seed Infestation by Xanthomonas euvesicatoria,PHYTOPATHOLOGY,2014,104,3,10.1094/PHYTO-05-13-0138-R,,,,,,,,,,,,,,
556,"Noble, LM; Holland, LM; McLauchlan, AJ; Andrianopoulos, A",A Plastic Vegetative Growth Threshold Governs Reproductive Capacity in Aspergillus nidulans,GENETICS,2016,204,3,10.1534/genetics.116.191122,,,,,,,,,,,,,,
557,"Pega, J; Rizzo, S; Perez, CD; Rossetti, L; Diaz, G; Ruzal, SM; Nanni, M; Descalzo, AM",Effect of the addition of phytosterols and tocopherols on Streptococcus thermophilus robustness during industrial manufacture and ripening of a functional cheese as evaluated by qPCR and RT-qPCR,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2016,232,,10.1016/j.ijfoodmicro.2016.06.003,,,,,,,,,,,,,,
558,"LEWIS, JD; THOMAS, RB; STRAIN, BR",EFFECT OF ELEVATED CO2 ON MYCORRHIZAL COLONIZATION OF LOBLOLLY-PINE (PINUS-TAEDA L) SEEDLINGS,PLANT AND SOIL,1994,165,1,10.1007/BF00009965,,,,,,,,,,,,,,
559,"Nabhadalung, N; Tongtidram, S; Intachai, K",STUDY ON MANURE FROM SILKWORM AND ARBUSCULAR MYCORRHIZAL FUNGI TO PROMOTE GROWTH AND YIELD OF MARIGOLD (TAGETES ERECTA) IN ALKALINE SOILS UNDER FIELD CONDITION,INTERNATIONAL JOURNAL OF ECOSYSTEMS AND ECOLOGY SCIENCE-IJEES,2019,9,3,10.31407/ijees9304,,,,,,,,,,,,,,
560,"Yoshida, M; Nakajima, T",Deoxynivalenol and Nivalenol Accumulation in Wheat Infected with Fusarium graminearum During Grain Development,PHYTOPATHOLOGY,2010,100,8,10.1094/PHYTO-100-8-0763,,,,,,,,,,,,,,
